date,open,high,low,close,volume,marketcap
"Nov 21, 2018",0.717650,0.734637,0.663359,0.721510,"3,232,420","438,309,418"
"Nov 20, 2018",0.825506,0.886363,0.690294,0.715623,"5,770,870","434,733,130"
"Nov 19, 2018",1.08,1.09,0.804030,0.829125,"4,532,120","503,684,351"
"Nov 18, 2018",1.10,1.11,1.07,1.08,"1,987,790","658,645,693"
"Nov 17, 2018",1.11,1.12,1.09,1.09,"1,862,270","663,876,174"
"Nov 16, 2018",1.11,1.14,1.10,1.11,"2,508,770","675,697,910"
"Nov 15, 2018",1.12,1.13,1.07,1.11,"3,354,020","675,375,941"
"Nov 14, 2018",1.24,1.27,1.09,1.12,"3,778,580","678,978,351"
"Nov 13, 2018",1.26,1.27,1.24,1.24,"2,521,740","755,910,763"
"Nov 12, 2018",1.32,1.32,1.26,1.27,"3,230,420","769,585,342"
"Nov 11, 2018",1.31,1.32,1.30,1.32,"2,345,040","800,020,543"
"Nov 10, 2018",1.29,1.31,1.29,1.31,"2,562,070","794,911,560"
"Nov 09, 2018",1.32,1.32,1.29,1.29,"2,729,800","786,303,440"
"Nov 08, 2018",1.33,1.33,1.31,1.32,"3,224,060","800,154,190"
"Nov 07, 2018",1.34,1.36,1.33,1.33,"2,605,570","806,994,517"
"Nov 06, 2018",1.31,1.34,1.31,1.33,"2,884,510","809,187,552"
"Nov 05, 2018",1.32,1.35,1.31,1.31,"3,656,250","794,632,115"
"Nov 04, 2018",1.32,1.33,1.31,1.33,"1,626,250","805,980,010"
"Nov 03, 2018",1.31,1.32,1.30,1.31,"1,447,520","798,690,142"
"Nov 02, 2018",1.31,1.34,1.30,1.31,"2,312,990","794,711,088"
"Nov 01, 2018",1.28,1.32,1.28,1.31,"2,314,640","793,240,965"
"Oct 31, 2018",1.28,1.29,1.26,1.28,"2,135,600","779,499,563"
"Oct 30, 2018",1.28,1.31,1.28,1.28,"1,804,820","778,618,704"
"Oct 29, 2018",1.35,1.36,1.28,1.28,"2,355,900","777,543,448"
"Oct 28, 2018",1.35,1.36,1.34,1.35,"820,245","822,795,307"
"Oct 27, 2018",1.36,1.37,1.34,1.35,"1,038,920","819,241,496"
"Oct 26, 2018",1.35,1.37,1.34,1.37,"2,047,160","829,295,440"
"Oct 25, 2018",1.36,1.36,1.32,1.35,"1,622,770","818,129,791"
"Oct 24, 2018",1.38,1.38,1.34,1.34,"1,871,920","812,546,967"
"Oct 23, 2018",1.41,1.42,1.37,1.38,"2,513,170","839,428,357"
"Oct 22, 2018",1.34,1.42,1.33,1.41,"2,532,760","858,132,944"
"Oct 21, 2018",1.31,1.35,1.31,1.34,"1,277,190","815,468,989"
"Oct 20, 2018",1.31,1.32,1.30,1.31,"1,309,920","797,766,758"
"Oct 19, 2018",1.32,1.33,1.29,1.31,"2,351,860","796,800,851"
"Oct 18, 2018",1.40,1.41,1.32,1.32,"2,663,220","803,465,005"
"Oct 17, 2018",1.47,1.47,1.37,1.40,"3,428,510","850,776,252"
"Oct 16, 2018",1.37,1.48,1.33,1.47,"6,030,970","891,040,626"
"Oct 15, 2018",1.22,1.37,1.21,1.37,"4,359,540","834,562,369"
"Oct 14, 2018",1.24,1.25,1.20,1.22,"1,394,990","741,051,581"
"Oct 13, 2018",1.25,1.26,1.23,1.24,"1,020,920","755,977,587"
"Oct 12, 2018",1.23,1.25,1.21,1.25,"1,716,960","757,314,063"
