date,open,high,low,close,volume,marketcap
"Nov 29, 2018",190.10,191.15,176.83,180.98,"89,166,901","3,164,359,444"
"Nov 28, 2018",179.14,198.55,176.36,190.07,"127,871,000","3,322,936,116"
"Nov 27, 2018",182.00,192.99,171.22,179.06,"136,514,000","3,130,144,346"
"Nov 26, 2018",184.83,215.77,170.62,182.04,"283,429,000","3,181,915,944"
"Nov 25, 2018",181.13,189.25,154.28,184.58,"164,581,000","3,226,002,256"
"Nov 24, 2018",207.66,217.04,177.22,180.69,"97,740,700","3,157,626,102"
"Nov 23, 2018",210.42,212.46,196.52,207.43,"103,947,000","3,624,574,888"
"Nov 22, 2018",236.21,239.00,211.47,211.47,"59,981,900","3,694,885,203"
"Nov 21, 2018",226.38,246.67,221.19,235.95,"80,873,000","4,122,235,034"
"Nov 20, 2018",336.31,336.50,199.09,223.70,"142,641,000","3,907,841,849"
"Nov 19, 2018",383.63,415.15,336.95,336.95,"107,950,000","5,885,744,615"
"Nov 18, 2018",387.63,412.87,380.02,386.25,"275,157,000","6,746,074,650"
"Nov 17, 2018",389.50,394.38,380.35,387.75,"356,307,000","6,771,541,905"
"Nov 16, 2018",421.20,423.43,388.82,388.82,"502,805,000","6,789,652,604"
"Nov 15, 2018",439.96,453.62,403.75,421.32,"979,243,000","7,356,352,530"
"Nov 14, 2018",511.63,525.27,421.20,439.31,"1,167,480,000","7,669,576,348"
"Nov 13, 2018",514.58,542.68,504.80,512.41,"972,530,000","8,945,077,319"
"Nov 12, 2018",533.57,536.90,502.73,516.31,"951,132,000","9,012,099,962"
"Nov 11, 2018",555.78,555.78,517.66,533.34,"693,990,000","9,308,507,141"
"Nov 10, 2018",542.88,562.90,535.79,556.50,"656,843,000","9,711,658,824"
"Nov 09, 2018",574.01,594.79,532.76,544.42,"860,474,000","9,499,852,951"
"Nov 08, 2018",616.53,619.16,573.90,574.43,"824,619,000","10,022,537,741"
"Nov 07, 2018",630.18,638.55,610.34,617.25,"935,156,000","10,768,569,005"
"Nov 06, 2018",558.55,628.51,551.29,628.51,"958,116,000","10,797,299,033"
"Nov 05, 2018",557.72,578.23,538.86,558.47,"907,963,000","9,740,952,454"
"Nov 04, 2018",478.54,586.04,478.51,560.18,"1,452,890,000","9,769,871,612"
"Nov 03, 2018",461.77,483.67,458.54,477.99,"470,238,000","8,335,552,143"
"Nov 02, 2018",424.24,469.88,424.24,462.01,"524,499,000","8,055,935,542"
"Nov 01, 2018",423.07,432.58,421.83,424.09,"228,640,000","7,393,934,934"
"Oct 31, 2018",422.23,424.62,411.52,422.86,"286,666,000","7,371,737,947"
"Oct 30, 2018",417.69,422.97,415.21,421.93,"243,462,000","7,354,852,860"
"Oct 29, 2018",440.21,440.90,414.61,417.57,"294,419,000","7,278,038,086"
"Oct 28, 2018",438.89,442.23,436.09,441.08,"226,911,000","7,687,035,518"
"Oct 27, 2018",438.60,439.82,435.83,437.53,"235,687,000","7,624,285,342"
"Oct 26, 2018",439.12,441.53,436.15,438.74,"259,970,000","7,644,644,150"
"Oct 25, 2018",442.18,443.58,439.15,440.23,"226,378,000","7,669,884,250"
"Oct 24, 2018",441.27,448.18,440.65,442.45,"249,002,000","7,707,652,665"
"Oct 23, 2018",447.17,449.79,438.25,442.65,"262,509,000","7,710,485,715"
"Oct 22, 2018",447.19,452.53,443.60,447.21,"261,566,000","7,789,079,577"
"Oct 21, 2018",447.54,455.96,445.77,447.85,"295,702,000","7,799,358,754"
"Oct 20, 2018",440.87,448.48,438.45,447.44,"266,812,000","7,791,561,135"
"Oct 19, 2018",438.31,443.43,433.38,440.85,"303,766,000","7,675,834,214"
"Oct 18, 2018",449.22,454.71,432.93,438.43,"327,540,000","7,632,886,085"
"Oct 17, 2018",458.85,459.87,446.29,448.79,"292,950,000","7,812,582,934"
"Oct 16, 2018",459.32,467.17,454.60,458.01,"302,192,000","7,972,225,574"
"Oct 15, 2018",438.65,487.21,433.82,459.38,"571,575,000","7,995,239,192"
"Oct 14, 2018",448.19,451.92,438.60,439.23,"242,400,000","7,643,835,570"
"Oct 13, 2018",443.18,450.22,442.66,448.41,"245,372,000","7,802,698,333"
"Oct 12, 2018",430.35,451.93,429.39,443.23,"289,722,000","7,711,708,129"
